NEE,PAR,Fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,VWC_5,VWC_25,VWC_50,VWC_100,VWC_150,VWC_200
-4.9224,217.6195732,0.961988775,324.3349074,12.8155001,29.8425,21.365,18.96689114,44.63333333,0.0784,0.038833333,0.032,0.033,0.036333333,0.052,0.125
2.9116,191.3984795,0.432425675,154.9303503,203.3516833,33.863,21.22,30.20894302,28.35333333,0.08821,0.041,0.032,0.033,0.037166667,0.053,0.126
-1.2822,71.07346677,0.984788525,127.6618386,1.971920647,29.6295,21.2015,20.60203997,39.18,0.10813,0.039,0.032,0.033,0.0375,0.052,0.125
-18.434,450.5974416,0.981740764,575.0645023,10.69553053,33.427,26.7385,16.46070766,60.04166667,0.115435,0.056,0.032,0.033,0.035666667,0.054,0.131
-10.57635,448.0054622,0.959680541,473.9385843,19.91177936,30.365,21.635,20.19923637,42.61833333,0.13991,0.038,0.032,0.033,0.0355,0.052,0.125
4.05585,107.723747,0.310496166,79.44501562,176.4197075,32.895,19.745,32.38384992,19.25666667,0.141055,0.04,0.032,0.033,0.036666667,0.05,0.123
6.3882,112.8539969,0.975575318,188.7848059,4.72645098,31.619,26.3235,14.52430713,61.315,0.14257,0.065166667,0.032,0.033,0.037666667,0.054,0.131
-8.1468,541.9514137,0.379361375,270.6439808,442.7759901,34.0805,21.515,31.40566724,26.22833333,0.169225,0.041,0.032,0.033,0.036166667,0.053,0.126
-8.41835,347.5445039,0.847377442,367.9158995,66.26594376,32.0335,26.27,14.58522098,61.97833333,0.18111,0.065666667,0.032,0.033,0.036833333,0.054,0.131
-10.4535,553.9587225,0.901721655,656.3609956,71.53656764,31.575,21.86,25.49250165,31.98,0.19334,0.038,0.032,0.034,0.034666667,0.0525,0.125
-14.1815,757.6548792,0.745779415,545.9994592,186.1197815,32.4525,22.4485,28.07691655,28.36166667,0.21091,0.058333333,0.032,0.034,0.036666667,0.054,0.131
-16.4105,1156.397804,0.291125281,377.8148388,919.9592245,34.058,21.0765,38.08931486,10.45166667,0.212415,0.039,0.032,0.034,0.032833333,0.05,0.123333333
-13.6365,452.3452977,0.857633676,519.5263626,86.24085165,32.3635,26.42,16.20647384,58.47666667,0.217805,0.066166667,0.032,0.033,0.036166667,0.054,0.131
-2.2571,135.0531924,0.662682963,164.7787027,83.87519655,30.42,23.1435,20.60904346,41.625,0.230145,0.049,0.032,0.033,0.036833333,0.052,0.126
-16.3355,1087.761681,0.360584715,455.1742935,807.1484693,32.2225,24.37,27.00929692,30.29333333,0.24859,0.049166667,0.032,0.034,0.034333333,0.052,0.126
-4.35395,436.4747481,0.224774364,140.4108052,484.2636585,33.8545,20.203,35.77450883,15.02666667,0.258475,0.04,0.032,0.033166667,0.035333333,0.05,0.123
-12.4235,835.3097229,0.630642817,530.4850109,310.6963937,33.406,21.83,32.20530845,21.73,0.268095,0.041,0.032,0.033,0.0355,0.053,0.126
-7.671,430.0603526,0.984124657,442.8651474,7.144050572,32.636,26.5685,16.07321824,59.375,0.272205,0.055333333,0.032,0.033,0.036,0.054,0.131
-9.5532,811.6105946,0.273365011,270.5997761,719.2846836,31.068,20.057,29.17892632,20.055,0.29238,0.043,0.032,0.033833333,0.0355,0.05,0.125
-6.05335,813.8717312,0.166950724,165.8873195,827.7431073,34.5425,20.645,38.50493353,11.66166667,0.29256,0.039,0.032,0.034,0.034,0.05,0.123
-9.80555,388.7771799,0.601583398,478.4672166,316.8792273,30.941,21.37,23.10989041,36.35166667,0.29278,0.061666667,0.032,0.034,0.036666667,0.052,0.127
1.009755,85.54143318,0.900593456,150.0418703,16.56146148,30.69,23.7815,20.31733813,43.26666667,0.293005,0.037333333,0.032,0.033,0.036,0.051,0.125
-20.5765,1393.018198,0.351467556,522.0428532,963.2801713,31.458,24.85,24.85877848,33.26333333,0.29306,0.050166667,0.032,0.034,0.034333333,0.052,0.126333333
-5.77475,331.3835824,0.69739052,332.1431894,144.1225179,31.2035,23.5315,22.23925189,39.5,0.31413,0.049,0.032,0.033,0.036,0.052,0.126
-0.16636,70.2367815,0.701522064,122.9940719,52.33052334,30.8875,22.6685,23.66837542,34.58166667,0.31586,0.037666667,0.032,0.033,0.036333333,0.049,0.120833333
-8.19015,667.5402233,0.466639865,410.306628,468.9723597,31.86,23.78,23.37380471,38.55,0.347405,0.049,0.032,0.033166667,0.035166667,0.052,0.126
-25.257,801.221168,0.713739562,658.9895326,264.3017732,32.4045,26.645,17.43069371,55.41666667,0.349325,0.067166667,0.032,0.033,0.035666667,0.0545,0.131
-8.34795,288.2802152,0.749087651,303.8245365,101.7682353,31.5925,20.955,19.14033712,48.96,0.368155,0.037,0.032,0.033,0.0355,0.051,0.125
-10.0288,337.3546372,0.694829466,332.5505217,146.0568748,29.2515,22.2385,17.36167381,47.75333333,0.379805,0.040333333,0.032,0.033,0.036,0.0515,0.125
-7.72385,345.8407624,0.984682934,340.9541993,5.303654329,31.793,26.4565,14.47152983,61.875,0.381755,0.055,0.032,0.033,0.0365,0.054,0.131
-9.82255,859.7657356,0.510624261,494.5307415,473.9519169,32.592,23.345,30.11102031,23.725,0.382345,0.036166667,0.032,0.034,0.033,0.05,0.121
0.19305,93.48632691,0.817441855,164.292762,36.69127254,30.3525,22.702,20.50887163,41.72,0.39385,0.039,0.032,0.033,0.036333333,0.051,0.125
-9.5055,480.9947218,0.57021647,364.754367,274.9226438,34.379,27.5615,23.32843542,46.03666667,0.394175,0.033,0.032,0.033,0.034833333,0.058,0.147
-3.238,312.2130844,0.656493269,275.9511044,144.3899977,31.6065,22.8,25.76451449,31.34666667,0.409785,0.037,0.032,0.033333333,0.035,0.049,0.120666667
