NEE,Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200
-6.42455,133.5248183,409.1710534,0.920906749,245.0576996,21.04709322,17.061,19.2215,5.984073044,65.01166667,0.22898,9.649377034,0.068,0.038,0.035,0.046,0.077,0.290333333
-19.226,244.6998333,634.3475831,0.781757178,423.2443019,118.1569334,18.7795,19.9265,7.015138623,62.775,0.30141,16.72918154,0.0675,0.038,0.035,0.045,0.077,0.291
-25.175,396.82775,942.093628,0.714998596,573.4735592,228.5889373,20.4345,21.0765,8.595716378,58.43833333,0.323085,32.53670594,0.067,0.038,0.035833333,0.044333333,0.077,0.2915
-24.288,361.9481333,840.2835796,0.819077387,715.0445158,157.9432226,22.1705,22.653,10.3766697,54.39166667,0.313355,50.25856875,0.067,0.037166667,0.036,0.043,0.077,0.292
-26.9045,509.1511,1111.816062,0.838774569,807.8368633,155.2787265,23.286,24.16,12.07388081,50.07666667,0.41119,64.16806042,0.066166667,0.037,0.036,0.0415,0.077,0.292
-26.943,395.1068,890.1625205,0.796853654,854.7333428,217.9019376,24.6885,26.9185,13.82799149,46.955,0.59186,82.82394535,0.066,0.036666667,0.036,0.040333333,0.076,0.292
-23.727,337.14105,780.9034146,0.955671593,763.5070956,35.41494121,25.1565,27.08,14.91253138,44.235,0.58136,98.44363862,0.066,0.036,0.036,0.041,0.076,0.292
-22.019,312.9911667,736.738729,0.924088376,717.3677677,58.93002616,25.9715,27.205,17.57521133,37.09333333,0.64194,109.8745957,0.066,0.036,0.035333333,0.041,0.075166667,0.2915
-20.9275,182.2218667,478.6109696,0.965478386,574.7094526,20.54929256,26.4075,27.2215,18.3790312,35.705,0.68062,116.0325211,0.066,0.035333333,0.035,0.041,0.075,0.290833333
-15.259,82.29920667,246.094806,0.977207826,423.8340602,9.885409755,26.564,26.78,18.54498531,35.665,0.725265,117.7877037,0.066,0.035,0.035,0.041666667,0.075,0.289666667
-7.0525,199.89005,645.1308584,0.779033528,288.109003,81.71975615,13.124,11.883,9.587549446,29.685,0.708205,42.66816118,0.084,0.04,0.036833333,0.050333333,0.08,0.294166667
-13.9825,356.9552667,979.1246038,0.408789687,335.3150077,484.9478765,13.811,12.235,10.90012314,23.18166667,0.886315,40.83736398,0.083,0.04,0.037,0.05,0.08,0.295
-14.5295,534.4489,1307.03186,0.349551059,401.4449819,747.0137972,14.71,12.8185,12.51191818,16.305,0.75829,38.92101979,0.083,0.04,0.037,0.049666667,0.08,0.295
-16.6315,665.1867167,1536.305612,0.318477479,458.0365413,980.1704619,15.6125,13.805,13.57435801,13.77,0.77338,42.39956759,0.082166667,0.04,0.037,0.048333333,0.08,0.295
-21.373,743.0278167,1654.114557,0.337683623,542.9002268,1064.81833,17.1435,16.337,15.06733072,12.3,0.59483,46.92324607,0.080833333,0.04,0.037,0.045333333,0.08,0.295833333
-17.7795,746.7684,1650.385641,0.358421699,598.2915969,1070.947733,18.2535,22.182,16.09029136,12.03166667,0.241565,50.37802519,0.079833333,0.039166667,0.037,0.042833333,0.079333333,0.296333333
