Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200,NEE
190.6883657,-905.0742908,-815.0576122,-613.8390975,1007.199157,731.4426822,-892.2356698,385.5055743,788.8621097,-483.7351402,461.5309856,-33.73994292,-1383.035947,-594.7007935,-99.66870796,410.0710924,-951.6336022,0.163189529
-133.5350282,217.6377706,-1031.764536,-909.3731126,806.0340705,-1080.638772,-472.2100127,3699.36445,83.64217206,2147.225997,-619.129554,-297.9983554,-1718.870755,636.6998455,-1605.117391,-460.7840884,-824.185579,0.360244105
-1072.210406,7.300147516,-1135.215356,470.6874684,329.8204519,166.3374041,-835.8327451,1948.25585,-1343.294406,1760.784812,-1004.192156,1175.384721,-1612.349003,58.43049653,438.3283842,-1295.956675,-732.3385779,0.580138165
501.122332,-1147.59518,-923.9873319,5.696651993,342.3946393,585.9428656,-328.4232452,-722.1770806,718.0390363,-881.2250443,434.6682145,-223.4644378,-74.05727168,-301.7440954,110.0621511,-173.0791352,-716.739006,0.273869535
-360.1971698,342.7512066,-530.1061127,-323.6094259,275.8212358,-184.3044909,-508.1391708,1489.668983,-295.382469,1017.851999,-599.9367907,222.397212,-1035.741344,109.2464469,-486.0243811,-572.6265052,-586.36548,0.403517706
-408.4999653,-249.1961497,-79.6381887,174.8234294,85.74209167,273.5266537,-87.13107477,617.2196284,-526.8951217,243.8137708,-91.28791196,465.1937647,-616.6188653,-9.667083055,-184.777915,-302.7345817,-550.3690281,0.532806224
322.0001172,-659.7311238,202.9311536,-139.3022423,-76.66315819,116.0193198,548.1060867,-657.8788992,111.3786099,-672.3390006,630.4187934,33.64348337,682.9630902,-198.6067242,-696.4167041,-393.2659518,-492.8461314,0.283903889
354.8274498,-489.8181783,30.89330236,-152.3701445,-55.62492819,77.02620618,447.2866401,-208.9893026,-127.8796403,-529.8263602,284.9916612,414.3709742,348.0606422,-234.202714,-548.2903004,-149.5125461,-485.863211,0.440914558
-2535.66162,-245.7839127,-538.9154348,-257.5210622,261.4944003,1216.46901,-577.7367725,2887.949214,-1622.350111,1603.097694,-1783.013841,240.248288,-2030.098191,1128.772104,621.0907471,-933.1742297,-457.0896448,0.497819056
84.69814246,-530.0823011,224.6361295,-381.4500485,58.14857153,152.5542051,467.4242869,-461.9401534,200.988667,-489.0409993,520.5929901,53.73460364,451.8632377,-75.54647745,-802.1917808,-386.9128539,-403.9450887,0.535798548
-75.69173259,-924.7194524,184.1194146,-666.3604556,-406.9750545,66.92094604,436.3175618,-942.906183,387.009582,-630.1873618,706.9259144,-46.50812709,651.5286937,-31.73083547,-698.2893769,-400.2058312,-396.5449563,0.76782835
-2386.106813,1340.751119,390.598515,354.0841094,-2073.986335,-362.0347903,-1579.666625,43.67590631,1968.54751,-849.5591683,357.0582623,-665.2052022,-1271.866892,-706.3271286,-1401.720899,-465.3342244,-389.279354,0.507918148
127.0648623,-352.0296373,119.6889744,-135.4639163,-193.6441202,192.5504508,448.5902693,-555.294543,311.3329307,-609.6490524,233.1953138,-32.64130848,575.1903626,55.54606336,-592.8828605,-459.5133195,-336.3821757,0.497445016
-710.0592933,-84.03959282,-199.6711227,406.5413821,101.6786547,285.2379799,-535.7374618,1125.788259,-202.4396939,435.4506759,-417.458277,85.66455816,-1190.030339,336.2169802,172.5926629,318.6335124,-310.706322,0.427535419
224.3596953,-293.5836132,33.28247864,431.1436428,-565.289937,338.5959968,261.6852753,-366.970573,42.07169084,-509.0363867,-154.1267744,-61.03930061,223.042341,304.6713032,-107.1258287,-650.437732,-304.7130297,0.666991722
-469.6668325,220.1896481,-193.5495089,226.670391,154.1312381,-143.8917952,-358.092501,839.7130789,-443.0095925,481.8588572,-548.4761444,88.12755018,-407.1116059,-121.4189013,-79.56628121,-266.45967,-283.0624136,0.518772514
-597.8477789,436.9363411,-799.768304,265.8483519,249.6121097,-102.2478013,-555.9238592,2099.872672,-1198.848255,1043.677155,-1295.349487,1338.102088,-1322.261566,-134.3924477,608.6959154,131.4396291,-258.0717445,0.552182238
150.8791698,-523.6455232,122.2867578,151.1673773,-639.7038975,6.936455454,66.82697793,-282.3971345,3.406477725,-421.9189328,303.617946,-19.18469878,11.95997813,54.9246225,291.4092079,43.68531289,-252.1512749,0.690280069
-446.2961033,147.8910707,-324.9570041,9.88345775,156.8824538,1.02651158,-326.5349752,967.6209257,-361.1987226,705.2082177,-429.5935523,197.8241559,-617.3094235,122.8854927,-90.7738692,-397.2352728,-246.2560878,0.483706223
-293.9295721,-128.9615527,-58.03448599,193.2560534,7.397465555,53.20710427,-37.93262008,638.1660695,-277.002325,196.8771003,-235.2614775,22.88819477,-140.9885248,36.14124752,-88.9515994,-306.2383522,-243.4678821,0.464234541
141.7064747,340.2278171,-55.61610262,173.622228,-292.8727641,-155.4609612,-245.7359624,212.1073354,-300.7332441,-51.86984474,-280.9161208,74.29553204,261.0678605,-196.2211391,-327.2404036,-437.0869552,-201.7813054,0.433246729
-44.71488869,-70.28251754,-63.26531564,-104.4021327,24.94322131,-81.26553662,17.99514902,326.7330788,13.39026606,106.5668086,-31.56844167,1.412423215,-31.35922331,2.003636624,-248.9823062,-142.5847171,-196.2247585,0.476520331
-304.3390403,45.21975463,-227.9970602,197.6156766,-11.96810203,23.44278092,-241.038274,451.6967648,-203.7927071,393.5180407,-187.5502016,261.8743782,-409.8753152,71.22101394,111.7565608,-302.1499304,-185.4347822,0.402100669
129.9439937,-273.7951901,47.60205317,-117.9181094,109.5193898,-55.22900287,106.7437633,-118.5941515,-104.7470691,-48.31302124,359.8722576,59.40212127,117.9240435,-189.908698,-204.44487,-32.25279233,-176.3495545,0.609325548
-2221.867654,801.464044,-149.0685846,-1150.323756,-10.49592813,348.0541787,-527.0037486,2200.100479,470.8035126,155.4138878,-1303.990331,-129.4637765,-1350.465875,1118.294559,254.4385791,529.823862,-172.1474823,0.483202707
-3.276174968,45.092208,99.87721377,201.8200216,-81.02124027,-18.41304036,239.6435354,-39.05626204,-7.630609747,-466.5563365,-101.5898153,-113.7641783,480.5116247,-78.10499416,-382.6899513,-271.6659489,-168.6872411,0.256728412
