,Rn,PAR,fdif,PARdif,PARdir,Ta,Ts,Vpd,RH,Ustar,O3,VWC5,VWC25,VWC50,VWC100,VWC150,VWC200,NEE
9,28351.1899,-59235.28458,19213.52239,-18922.05659,-5889.29672,11517.05283,49287.88154,-48047.12659,6413.182749,-53597.20566,51878.58842,9320.349297,50728.47599,-10072.5504,-64837.28096,-36349.52109,-42676.30615,0.584691388
261,47144.36793,-27487.88973,5296.8683,22506.20582,6656.856516,-2056.549809,15627.9768,-33890.10283,-28532.01505,5737.932624,22280.96227,-5402.349665,29299.23439,-20802.20453,-7209.509605,-13641.79179,8284.877275,0.507231517
671,-11869.06994,-24247.48479,28044.80855,-2395.721526,-3250.084236,12439.80565,7653.797078,-89217.94488,50918.5302,-6871.845596,63331.79463,-81309.52657,49023.70243,17679.46822,-34441.42513,-64230.33721,1128.25266,0.33349302
643,2919.392934,-23344.9263,9471.77629,-3814.795872,-16643.72497,19019.79402,6291.497508,3349.122835,-15188.92582,-12857.45768,-394.396716,-10102.44099,-17790.65567,23443.26965,27121.00915,12604.49632,-3312.391377,0.616180738
510,-660.4377269,-13220.23438,7071.866953,-7700.033596,-2982.119542,8168.385943,2342.114504,-32728.30078,19573.57157,2499.380516,22616.63922,-17691.85586,8538.088005,8018.928504,-8171.922184,-16865.68741,461.0336862,0.023399107
807,2786.056115,-12091.92932,-6071.7116,-16943.59843,-6677.911086,-5768.807497,10897.09291,203.1301992,8572.030909,-2873.540509,-2697.626219,-9935.117304,20843.08877,13319.40059,13314.96902,-6629.536317,5949.62234,0.288442726
776,619.1709731,-10713.32296,-1634.138034,-15351.3285,-3514.525838,8085.885853,-670.7516992,-10711.90203,12674.36982,12613.48167,6245.988108,7090.411124,-9000.12794,8356.493373,4794.890934,2375.302091,3575.719973,0.31908527
122,-6280.496456,-9586.421146,-1209.407229,-15209.63371,22226.43713,-16050.34677,-12742.51559,29167.1728,-21935.73183,28316.09149,21556.80516,10159.87059,-20369.55477,-18731.59617,10184.87881,24832.86783,-2149.619026,0.475016976
636,-12663.44825,-8884.991608,568.9781737,-13280.97623,-7138.426572,-4442.132329,-490.0902584,-5974.739073,6986.389582,-39.80707128,881.9935864,311.4812904,99.25089283,2865.52861,-2299.225203,621.0296638,2069.170909,0.681666408
485,-7784.071752,-7948.103152,4925.460052,-2902.737943,-3748.973491,4872.991697,2223.048984,2797.05853,-3056.734233,-2206.268695,-660.4349612,-5477.446963,-2675.658298,4351.001014,3124.443305,4054.188889,2028.208726,0.659536161
431,-15194.74523,-6972.785095,-905.9284087,-3994.920848,-8388.758759,-2447.792604,-1183.981309,12926.91713,3999.980617,5211.839949,-1750.793316,-1406.976719,170.518846,1363.621677,-1987.945089,-1038.833162,-1196.878616,0.742615722
469,-9122.443411,-6953.670314,1315.891947,-9680.509602,-1823.580379,-1962.121845,1909.780014,3657.211314,-224.0143628,3776.353212,-3094.373156,378.7726327,4801.073833,3943.058603,4001.13641,4652.613528,3102.783746,0.546451507
851,2183.150958,-5425.844672,-385.9267652,-3997.583884,-1059.278421,-329.4457988,1041.198447,-619.7401492,-292.8654832,1467.860899,3491.815324,243.712335,-64.40132233,1317.37899,3549.015164,1055.061165,-50.23968375,0.467313181
113,-3997.520827,-5242.520075,15741.79525,-2988.192005,19034.32513,-1074.104744,7972.345255,50467.55274,-23336.70472,11930.45094,-5310.788699,22966.42993,-30796.6074,15163.59776,-10378.3058,7162.21759,-1640.06184,0.729666586
804,5417.681083,-5028.498861,6225.480604,7604.169921,-3900.337068,6124.953748,3311.457788,-23339.77855,-3309.404911,-15338.0381,7736.669485,1778.211188,6252.651541,-5646.656404,9289.444133,4086.084596,125.0750893,0.382564249
647,2351.236145,-4119.446535,-464.7995648,-2710.234138,-1456.650701,-524.9711769,4004.684433,-998.0677026,318.5227341,-3622.565437,927.3657125,815.6328437,5192.766967,379.5165074,-910.8297408,-1497.34031,-1624.580328,0.298031109
392,-3987.200194,-3995.431863,-629.4951165,5877.359607,-10229.53824,3343.765002,4680.479964,19034.3348,3372.764025,-349.7277479,-11644.70546,-5004.696354,137.4724698,12904.73149,-9618.691135,-15743.05069,-7372.066004,0.379097181
300,911.9977045,-3655.041831,-184.2358355,-3935.55305,-1415.720611,2234.733794,448.4851138,-3936.062411,3406.353134,2274.513043,2522.744983,1537.651939,-1428.839804,2102.25176,732.8459613,-94.51364479,357.6400918,0.333507406
126,-6959.917479,-3653.865411,6457.984416,-4002.807051,-1644.772901,2250.502409,2038.778603,5337.745141,519.187157,-1623.305957,49.1749442,1853.319652,2775.343615,254.4907408,5486.333605,6062.532983,2955.563003,0.239220442
58,-3663.591216,-3195.799605,470.6536115,-3162.905177,-5271.39197,-392.2365949,-1179.230993,-4857.821182,3610.153063,-2174.561497,3031.038028,-1352.934458,-162.9603424,94.0721982,-1321.641487,-950.4587526,-434.9158101,0.978914909
473,-7037.608502,-2849.094252,2940.976835,-4792.763064,461.6079606,4432.710175,1314.361702,-6550.83518,4819.329383,-495.6490585,3120.597416,-11397.01715,4163.856125,4883.949773,-2024.76235,-4193.760885,1848.824106,0.275113938
424,2426.263522,-2750.242954,506.496393,509.045157,-2379.097743,1050.077473,467.7765857,-2334.459962,-56.64646823,-987.940197,1942.116373,64.24915271,-674.334891,929.0524113,1573.361661,-198.1353484,-780.7598222,0.278206965
683,346.1808043,-2352.266118,-1390.431703,-1325.470582,-3632.140437,-1339.949735,-1153.915999,13367.84296,-1203.858288,5214.998953,-2456.663708,-2210.44953,-6580.84098,6205.941115,-97.97248945,-1023.899835,-2441.819549,0.655482857
219,-3103.782532,-2060.449799,1612.088533,32.4291342,-767.7452628,1302.502122,697.8458955,2826.709035,-804.8760727,-295.582306,-283.969081,-1379.097358,-1543.302238,1620.79143,1910.93888,1767.609993,239.9782446,0.497603264
